sonic,rmse_0-6h_dir,bias_0-6h_dir,rmse_6-12h_dir,bias_6-12h_dir,rmse_12-18h_dir,bias_12-18h_dir,rmse_18-24h_dir,bias_18-24h_dir
tse12.10m,65.62850316920922,-38.67709690910975,61.15969178948826,10.378604128731622,78.0589543808334,4.223188965267606,96.05998968880166,-1.0911707853476238
tse12.20m,42.02963529189239,2.584311169759962,32.67131386583567,16.804030604383676,99.3563746270334,-8.855593066300283,103.96850796291764,-39.0321679833836
tse13.10m,40.75148591314536,-3.913849382470281,32.16430992825126,15.178565914000403,25.043529307492555,-8.607061295403375,73.03890501690317,-12.352626133622326
tse13.20m,36.969784766027885,-1.895964232680269,30.58772950095244,17.848719240223694,22.18685629884166,-8.574728420596653,65.40927550943064,-11.52646991867489
tse13.30m,34.47027843806886,0.5452457876253152,28.565694058036843,18.44280113963286,21.32580170054674,-8.647661604181925,62.93797453055209,-26.241502153809865
tse13.40m,28.35522193884636,5.605365286649069,30.88268755293686,21.352867090826564,19.876849862797325,-6.952982192399766,59.56648414709031,-25.08428947684076
tse13.60m,36.55772975194434,12.240305704650554,40.29972196416198,24.93084479340977,18.962109342901982,-5.42313491897583,62.89607884271123,-27.52326746816847
tse13.80m,37.32686223522762,-0.6079620161268409,48.45690981027783,29.682895490688747,19.585837613397864,-5.724858433659872,69.41254323325275,-25.544682462720868
tse13.100m,21.9418601216504,6.643062452528219,58.434915899303526,31.40018118019104,19.93586241294577,-6.006469173982408,63.3911231259364,-33.4020319588081
rsw01.10m,37.37483721971518,6.354643156897762,13.47302710217199,3.385475259102716,11.463629948234573,-5.066959781477186,63.67428448703038,21.3214503347377
rsw01.20m,37.30566517545824,19.12699636149539,24.76994368726685,11.782962915953494,13.849448599259585,-5.432837992646959,41.81630513528504,-3.167853723499642
rsw02.10m,33.80561077005187,10.176100309884816,23.51988780015712,7.776479952663847,20.15385933176697,-11.95621922785441,47.558599557486446,-9.8026964107177
rsw02.20m,35.52682255226122,16.127915772760186,31.079469582016923,13.22288392264578,18.77152991696095,-10.162636607191295,41.026437931555705,-14.21121100150214
rsw03.10m,35.88846894880732,17.35613379343139,29.02109325308641,11.9694068786939,15.75717640993181,-8.629254217274983,44.66404375949303,-19.726650345686807
rsw03.20m,37.99235593601695,20.338500683869256,35.60894036001018,17.77579629407459,16.120087748836518,-6.80001129108005,58.95998934264294,-17.657600175488522
rsw03.30m,45.02628088318811,25.036799868774416,41.36868858316949,22.262459951033858,16.82147117243944,-6.805668663618299,77.68044486015599,-7.854939284860292
rsw03.40m,46.81424291542949,11.812604340955948,45.92832240472416,24.9148685726179,17.51211182140073,-7.430073672485352,80.1823059683155,-20.5646266360969
rsw03.60m,35.82452169186465,8.786117752753368,53.6525669821752,28.07021277970208,17.154365553269642,-5.829194920518662,79.2892147653024,-32.868388292168774
rsw04.10m,39.71187972332056,20.4190439672894,38.34257268362733,19.31887514606052,12.720301024757369,-2.405055319637722,95.13652262490344,24.62073494525379
rsw05.10m,46.11442804376178,23.66118482613033,38.87840801153806,19.6393473891788,11.1892826064955,-5.855630874464247,35.68440198417257,-4.40400116446548
rsw06.10m,44.27497200951758,19.604717872352072,31.731168840979336,18.491130115551417,10.680484522043942,-3.260973355272081,38.20904705744825,-17.15786613436593
rsw06.20m,45.30217293137249,23.3910782425605,39.15707085769333,24.730520907811325,12.234689255746092,-5.008990499708389,49.11553149225028,-26.6943444623926
rsw06.30m,44.32937407408465,23.318437514930302,43.86863990243655,26.7537794485728,12.822362906857895,-6.959621803114149,58.3648530714458,-34.036630591684975
rsw06.40m,36.64400497264998,13.496572972615558,47.22242318684873,26.902352879481843,13.906993085708717,-8.84217034462823,60.1378831797314,-29.40906327049308
rsw06.60m,22.761010419768485,9.367662463717991,59.186602195726906,32.38603735140694,12.964092450229064,-6.658214816792807,55.85830601232199,-31.715521447329788
rsw07.10m,50.77023782363634,27.59798411227862,41.223380718808045,24.30259503853056,15.2608210689375,-7.238094734742906,40.05297834953632,-13.135934967059027
rsw07.20m,47.73256537240317,28.62460403281318,49.900863987514505,30.290004219836657,14.483890764758169,-5.654395285288492,56.14654731178604,-34.10524519440571
rsw08.10m,51.715073302142514,23.6286641380734,42.39371904027818,25.684113215541835,17.770911925197677,-10.369291746266684,52.90099331497335,-34.166790936313205
rsw08.20m,47.04401191465862,25.6062140071445,51.387828075835415,30.765156246826383,16.61039567920561,-9.82191367908054,59.502482752963225,-37.9339327252237
rne01.10m,35.48417341073268,-2.789284403010206,38.69262750261509,24.59990995216899,22.61044419317736,-2.3784674906836614,52.63717122391228,-24.665985243422185
rne02.10m,38.71199309627947,-3.390789454157808,32.585778421508245,19.611436812406115,19.48245869394642,-6.718794519297281,45.6424175896634,-25.95775844093111
rne02.20m,30.35640191134021,4.658724481961989,30.76907745751388,21.419886321036017,19.678405900627567,-2.4504642975277373,55.80724201924463,-20.70722087642193
rne03.10m,40.13894315684036,-4.949296960432262,33.384785418579526,16.01189834205177,22.18674436659623,-13.820511457655163,70.95988433932594,-2.321917067525585
rnw04.10m,,,,,,,,
rne06.10m,46.04639877051393,-3.481926740413236,32.471115504330555,16.49816735422611,19.620108020149203,-9.340391250949436,50.06929830808488,-16.243058657778768
rne06.20m,40.226615210714776,-4.983301582835773,32.56126883577138,17.56481267357667,20.31452638494944,-8.521669271765816,56.88474404787349,-14.740463075645234
rne07.10m,38.83024083314708,3.2573453009772333,27.09796005402394,17.776294491563903,19.576515747371808,-2.318180577511258,46.12699982479333,-20.01277374904632
rne07.20m,,,,,,,,
v01.2m,102.6940686409591,35.05280251990423,62.95513938531905,26.94331621907552,107.60171865071072,1.9750501154369824,84.7437215363508,17.607512291219503
v01.10m,120.07800538067922,61.66704234822591,64.98456278335688,22.8410448284573,103.58713437510976,19.25023901337517,91.25695688426364,10.841034500916805
v03.2m,123.92448374030165,85.74400022362603,105.94411575074841,49.94258394927978,116.77547214219653,-50.26041371082729,88.3912655282436,-10.61545088095665
v03.10m,117.09814785536413,63.212858378940155,97.36847437776254,41.52296231401232,119.7262636599834,-1.6066463209591952,95.22957502267582,-1.432951662487451
v04.2m,110.94691853896902,69.32913970417445,77.42555706073713,58.229796764458555,105.08136273153127,9.79646169397566,96.05305363617259,32.35587411356502
v04.10m,108.74509952008816,50.97507064336141,59.37288314928071,34.79428876308865,98.29344043766558,-3.3843648189608233,91.4552457835771,5.5433382989883455
v05.2m,73.61340381520534,36.59701032816569,57.81692726273431,16.83390025227865,100.85922089658322,8.572090757327606,83.83484180877134,24.364031743289924
v05.10m,95.09359639938212,59.570502479044585,58.982416607328375,21.95745412665473,88.91868940799581,-0.8561185184690695,88.92502608155014,17.090055544577705
